id,name,type,logo,code,flag
425,Syria,League,https://media.api-sports.io/football/leagues/425.png,SY,https://media.api-sports.io/flags/sy.svg
77,Brazil,Cup,https://media.api-sports.io/football/leagues/77.png,BR,https://media.api-sports.io/flags/br.svg
337,Ukraine,League,https://media.api-sports.io/football/leagues/337.png,UA,https://media.api-sports.io/flags/ua.svg
185,Scotland,Cup,https://media.api-sports.io/football/leagues/185.png,GB-SCT,https://media.api-sports.io/flags/gb-sct.svg
490,World,Cup,https://media.api-sports.io/football/leagues/490.png,,
492,Netherlands,League,https://media.api-sports.io/football/leagues/492.png,NL,https://media.api-sports.io/flags/nl.svg
498,Kazakhstan,Cup,https://media.api-sports.io/football/leagues/498.png,KZ,https://media.api-sports.io/flags/kz.svg
504,Saudi-Arabia,Cup,https://media.api-sports.io/football/leagues/504.png,SA,https://media.api-sports.io/flags/sa.svg
507,South-Africa,Cup,https://media.api-sports.io/football/leagues/507.png,ZA,https://media.api-sports.io/flags/za.svg
508,South-Africa,Cup,https://media.api-sports.io/football/leagues/508.png,ZA,https://media.api-sports.io/flags/za.svg
510,Switzerland,League,https://media.api-sports.io/football/leagues/510.png,CH,https://media.api-sports.io/flags/ch.svg
